room_id, deposit, rent 
5985974, 37000, 0
5793633, 18000, 50
5555080, 1000, 50
5409409, 1000, 90
5972371, 1000, 45
5861743, 5000, 50
5993628, 5000, 35
5992354, 15000, 20
5813973, 1000, 55
5917050, 15000, 20
5903678, 27000, 0
5930937, 10000, 90
5858510, 23000, 0
5969042, 37000, 0
5743201, 37000, 0
5833579, 18000, 20
5935541, 1000, 60
5722862, 10000, 47
5787543, 500, 67
5969192, 10000, 150
5840644, 7000, 55
5969060, 26000, 0
5859401, 26000, 0
5977848, 27000, 0
5778974, 500, 53
5927356, 2000, 50
5943157, 1000, 53
5878975, 39000, 0
5784078, 1000, 60
5699557, 3000, 60
5991054, 18000, 50
5725391, 10000, 47
5959937, 9000, 35
5722828, 10000, 60
5812772, 26000, 0
5792026, 15000, 20
5961598, 7000, 20
5943522, 37000, 0
5764613, 8000, 5
5971627, 500, 50
5886699, 2000, 50
5974668, 3000, 65
5744452, 37000, 0
5620726, 38000, 0
5978170, 15000, 20
5940459, 3000, 45
5599580, 5000, 80
5892167, 500, 53
5893804, 500, 53